listing_id,date_scraped,date_posted,title,estate,district,floor,size_sqft,rooms,price,unit_price,sold_price,views,source,url
cf30cb6a8f93,2026-06-06,13 小時前,葡萄園（牛潭尾站大學城）罕有酒莊大宅放售，可泊6-8車，價錢荀！！,葡萄園,元朗,,3494,4,"HKD 52,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3878325
b76ade51bcfe,2026-06-13,,Grand Yoho 1期 10座,Grand Yoho 1期 10座,元朗,,,3,"HKD 12,000,000",,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/Grand-Yoho-1%E6%9C%9F-10%E5%BA%A7_CVX383
4523bdd36d7a,2026-06-13,17 小時前,罕有价筍！中西廚房！內園海景4房2套！,匯璽,南昌,低層,1343,4,"HKD 32,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3888469
0eb704a304e9,2026-06-13,18 小時前,向南高層，望維港海景4房套！約睇！,匯璽,南昌,高層,1301,4,"HKD 36,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3888227
2531040ea778,2026-06-13,20 小時前,南昌站上蓋四房，大型會所配套设施豪华完善。交通便利。歡迎联络查询！一手二手帮到您,匯璽,南昌,低層,1343,4,"HKD 32,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3887896
93ecdf87a4d9,2026-06-13,,《維港景》《站上蓋》 即可入住…. 有票有驚喜,匯璽,南昌,中層,1301,4,"HKD 36,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3886632
ae24de5b6ebe,2026-06-13,10 小時前,元朗【車到門口。全新地下連花園】村屋,村屋,元朗,地下,1400,,"HKD 5,100,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3888926
d256e50ccfdb,2026-06-20,,峻巒 2A期 Park Yoho Genova,峻巒 2A期 Park Yoho Genova,錦田,,,3,"HKD 13,800,000",,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/%E5%B3%BB%E5%B7%92-2A%E6%9C%9F-Park-Yoho-Genova_CVY900
fa35d0ae2f6d,2026-06-20,,4套2套開陽大宅實用價平,匯璽,南昌,低層,1320,4,"HKD 35,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3896847
09489a84735c,2026-06-20,11 小時前,KB估凸極筍盤！HSBC估凸32XX！試衝2888！立馬速筍！,瓏璽,奧運,中層,1254,4,"HKD 29,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3898322
ddf7af758ca1,2026-06-20,13 小時前,元朗特色全幢村屋 可泊四車 罕有筍盤登場️,村屋,元朗,,2100,3,"HKD 16,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3898257
03878e05ca71,2026-06-27,,Grand Yoho,Grand Yoho,元朗,,,3,"HKD 7,700,000",,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/Grand-Yoho_CVX848
1536c6c3902a,2026-06-27,24 小時前,5543O82O. 間隔方正. 正南海景，則王之選。尺價最筍. 抓住最後機會。,君匯港,奧運,高層,1362,4,"HKD 27,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3906320
0fbf4ac6c341,2026-06-27,24 小時前,5543O82O. 超靚正南海景，地標屋苑. 西鐵港鐵超近. 只此一間.,帝峰皇殿,奧運,中層,1438,4,"HKD 42,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3906312
0bef387fdbdc,2026-06-27,,見票還一口$28XX！相熟租客可約睇！快者得！,帝峰皇殿,奧運,中層,1113,4,"HKD 29,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3905679
684f241eaac6,2026-06-27,,"5543O82O. 正南海景,市場最荀,特高樓底,地標屋苑,莫失機會. －傾即",一號銀海,奧運,低層,963,3,"HKD 26,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3905629
6c1af1b3fa9b,2026-06-27,10 小時前,元朗【單邊小全幢。元朗南重點發展】村屋,村屋,元朗,,1200,,"HKD 4,380,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3907463
